Date,ECRI_Level
Jul-03,127.46
Aug-03,127.92
Sep-03,128.13
Oct-03,130.54
Nov-03,131.06
Dec-03,131.16
Jan-04,133.46
Feb-04,134.66
Mar-04,134.31
Apr-04,135.03
May-04,133.46
Jun-04,131.62
Jul-04,131.91
Aug-04,131.03
Sep-04,131.96
Oct-04,132.81
Nov-04,133.23
Dec-04,132.48
Jan-05,133.6
Feb-05,135.05
Mar-05,135.32
Apr-05,133.98
May-05,132.1
Jun-05,134.07
Jul-05,135.65
Aug-05,136.48
Sep-05,136.36
Oct-05,135.58
Nov-05,136.57
Dec-05,136.25
Jan-06,138.73
Feb-06,137.86
Mar-06,138.82
Apr-06,139.52
May-06,137.19
Jun-06,136.66
Jul-06,135.7
Aug-06,135.68
Sep-06,136.51
Oct-06,136.88
Nov-06,137.86
Dec-06,138.85
Jan-07,140.28
Feb-07,140.39
Mar-07,140.31
Apr-07,142.77
May-07,142.78
Jun-07,142.67
Jul-07,141.92
Aug-07,139.59
Sep-07,139.93
Oct-07,139.38
Nov-07,137.75
Dec-07,133.89
Jan-08,130.65
Feb-08,132.71
Mar-08,129.94
Apr-08,132.36
May-08,132.91
Jun-08,131.54
Jul-08,128.16
Aug-08,126.84
Sep-08,122.74
Oct-08,110.28
Nov-08,109.3
Dec-08,108.52
Jan-09,107.53
Feb-09,105.74
Mar-09,106.74
Apr-09,108.85
May-09,114.87
Jun-09,118.38
Jul-09,122.61
Aug-09,126.06
Sep-09,128.28
Oct-09,129.14
Nov-09,129.41
Dec-09,130.12
Jan-10,130.53
Feb-10,129.06
Mar-10,131.54
Apr-10,135.07
May-10,123.72
Jun-10,121.66
Jul-10,121.62
Aug-10,120.69
Sep-10,122.4
Oct-10,123.3
Nov-10,125.36
Dec-10,128.67
Jan-11,128.92
Feb-11,129.12
Mar-11,130.05
Apr-11,129.25
May-11,128.89
Jun-11,127.2
Jul-11,129.15
Aug-11,123.14
Sep-11,120.28
Oct-11,121.97
Nov-11,120.96
Dec-11,120.11
Jan-12,123.11
Feb-12,124.04
Mar-12,126.71
Apr-12,124.65
May-12,122.26
Jun-12,121.62
Jul-12,122.13
Aug-12,124.03
Sep-12,126.38
Oct-12,126.6
Nov-12,126.41
Dec-12,126.52
Jan-13,130
Feb-13,128.72
Mar-13,129.88
Apr-13,130.92
May-13,131.1
Jun-13,130.23
Jul-13,131.33
Aug-13,131.44
Sep-13,131.63
Oct-13,131.34
Nov-13,132.32
Dec-13,133.14
Jan-14,133.24
Feb-14,133.26
Mar-14,133.59
Apr-14,134.29
May-14,134.67
Jun-14,135.39
Jul-14,135.61
Aug-14,134.79
Sep-14,134.36
Oct-14,132.4
Nov-14,132.38
Dec-14,130.14
Jan-15,130.74
Feb-15,130.46
Mar-15,132.66
