"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,99.46501,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,99.88992,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,100.283,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,100.6194,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,100.8918,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-09","Sep-1961","IDX","Index","0","Units",,,101.0903,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-10","Oct-1961","IDX","Index","0","Units",,,101.2141,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-11","Nov-1961","IDX","Index","0","Units",,,101.2678,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-12","Dec-1961","IDX","Index","0","Units",,,101.2392,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-01","Jan-1962","IDX","Index","0","Units",,,101.1203,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-02","Feb-1962","IDX","Index","0","Units",,,100.9291,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-03","Mar-1962","IDX","Index","0","Units",,,100.6661,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-04","Apr-1962","IDX","Index","0","Units",,,100.3509,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-05","May-1962","IDX","Index","0","Units",,,100.0261,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,99.73695,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,99.53162,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,99.42233,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,99.40865,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,99.47593,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,99.60807,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,99.77022,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,99.93122,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,100.0743,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-03","Mar-1963","IDX","Index","0","Units",,,100.1904,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-04","Apr-1963","IDX","Index","0","Units",,,100.2727,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-05","May-1963","IDX","Index","0","Units",,,100.3088,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-06","Jun-1963","IDX","Index","0","Units",,,100.2972,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-07","Jul-1963","IDX","Index","0","Units",,,100.2555,,
