"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,99.73853,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,99.53305,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,99.42373,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,99.4101,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,99.4775,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,99.60979,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,99.77209,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,99.93321,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,100.0764,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-03","Mar-1963","IDX","Index","0","Units",,,100.1924,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-04","Apr-1963","IDX","Index","0","Units",,,100.2747,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-05","May-1963","IDX","Index","0","Units",,,100.3107,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-06","Jun-1963","IDX","Index","0","Units",,,100.299,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-07","Jul-1963","IDX","Index","0","Units",,,100.2571,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-08","Aug-1963","IDX","Index","0","Units",,,100.2113,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-09","Sep-1963","IDX","Index","0","Units",,,100.1833,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-10","Oct-1963","IDX","Index","0","Units",,,100.1689,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-11","Nov-1963","IDX","Index","0","Units",,,100.1654,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1963-12","Dec-1963","IDX","Index","0","Units",,,100.1881,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-01","Jan-1964","IDX","Index","0","Units",,,100.2545,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-02","Feb-1964","IDX","Index","0","Units",,,100.3547,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-03","Mar-1964","IDX","Index","0","Units",,,100.4647,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-04","Apr-1964","IDX","Index","0","Units",,,100.5715,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-05","May-1964","IDX","Index","0","Units",,,100.665,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-06","Jun-1964","IDX","Index","0","Units",,,100.7441,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-07","Jul-1964","IDX","Index","0","Units",,,100.8073,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-08","Aug-1964","IDX","Index","0","Units",,,100.8483,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-09","Sep-1964","IDX","Index","0","Units",,,100.8867,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-10","Oct-1964","IDX","Index","0","Units",,,100.93,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-11","Nov-1964","IDX","Index","0","Units",,,100.9942,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1964-12","Dec-1964","IDX","Index","0","Units",,,101.071,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-01","Jan-1965","IDX","Index","0","Units",,,101.1386,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-02","Feb-1965","IDX","Index","0","Units",,,101.177,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-03","Mar-1965","IDX","Index","0","Units",,,101.1766,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-04","Apr-1965","IDX","Index","0","Units",,,101.1338,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-05","May-1965","IDX","Index","0","Units",,,101.0673,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-06","Jun-1965","IDX","Index","0","Units",,,101.0054,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-07","Jul-1965","IDX","Index","0","Units",,,100.9837,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-08","Aug-1965","IDX","Index","0","Units",,,101.0202,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-09","Sep-1965","IDX","Index","0","Units",,,101.1212,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-10","Oct-1965","IDX","Index","0","Units",,,101.2756,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-11","Nov-1965","IDX","Index","0","Units",,,101.4575,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-12","Dec-1965","IDX","Index","0","Units",,,101.6322,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-01","Jan-1966","IDX","Index","0","Units",,,101.7565,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-02","Feb-1966","IDX","Index","0","Units",,,101.7853,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-03","Mar-1966","IDX","Index","0","Units",,,101.6955,,
