Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,52.520000,52.930000,50.349998,50.830002,48.779915,115500
2014-01-01,50.619999,57.500000,50.619999,57.480000,55.161697,294400
2014-02-01,57.279999,58.849998,55.049999,58.000000,55.660725,310100
2014-03-01,58.650002,60.169998,55.119999,58.740002,56.370880,362800
2014-04-01,58.220001,62.099998,56.959999,61.209999,58.743660,493300
2014-05-01,61.330002,66.000000,60.860001,64.680000,62.073841,536000
2014-06-01,63.930000,64.500000,61.080002,64.120003,61.536411,325800
2014-07-01,63.369999,67.320000,60.930000,65.059998,62.626736,431600
2014-08-01,64.830002,71.779999,64.330002,70.730003,68.084686,470100
2014-09-01,70.599998,70.599998,63.650002,67.730003,65.196884,537200
2014-10-01,68.860001,81.410004,68.849998,71.629997,69.213287,529000
2014-11-01,71.500000,76.889999,70.610001,75.830002,73.271584,408500
2014-12-01,76.610001,82.599998,73.120003,80.790001,78.064247,865000
2015-01-01,80.959999,97.000000,80.919998,97.000000,93.951317,1277300
2015-02-01,95.779999,96.589996,80.300003,84.900002,82.231606,990000
2015-03-01,84.480003,89.500000,76.750000,86.470001,83.752258,1038100
2015-04-01,87.610001,89.070000,78.599998,80.500000,78.122444,803100
2015-05-01,79.699997,79.699997,70.550003,76.519997,74.259987,967000
2015-06-01,76.120003,76.309998,66.599998,69.699997,67.641411,649100
2015-07-01,67.760002,76.349998,67.309998,76.129997,74.244255,376200
2015-08-01,76.120003,85.839996,74.519997,75.410004,73.542099,550500
2015-09-01,75.419998,77.949997,71.419998,77.190002,75.278008,362900
2015-10-01,77.839996,80.760002,74.900002,76.089996,74.514870,436800
2015-11-01,75.360001,75.980003,70.760002,75.000000,73.447433,180300
2015-12-01,74.989998,78.459999,72.239998,73.260002,71.743454,346000
2016-01-01,74.980003,83.000000,74.029999,82.070000,80.707230,266900
2016-02-01,82.349998,92.930000,81.290001,86.949997,85.506187,410400
2016-03-01,87.180000,87.320000,82.360001,86.930000,85.486519,299300
2016-04-01,86.949997,90.000000,82.129997,85.099998,83.897087,432200
2016-05-01,84.269997,89.250000,83.290001,86.250000,85.030830,411100
2016-06-01,87.110001,99.750000,86.739998,97.870003,96.486588,503500
2016-07-01,101.050003,107.050003,95.699997,102.120003,100.915260,468300
2016-08-01,100.010002,101.209999,96.309998,99.610001,98.434875,229700
2016-09-01,98.489998,100.820000,90.550003,97.080002,95.934723,258900
2016-10-01,96.820000,97.080002,86.459999,87.779999,86.856796,539200
2016-11-01,86.760002,89.440002,72.769997,74.010002,73.231628,565200
2016-12-01,72.080002,74.570000,68.500000,73.019997,72.252029,279900
2017-01-01,72.139999,77.879997,71.879997,73.949997,73.172249,174300
2017-02-01,72.889999,77.029999,72.389999,76.330002,75.527222,192200
2017-03-01,73.709999,76.250000,70.190002,74.769997,73.983627,529100
2017-04-01,74.820000,80.330002,74.699997,76.919998,76.458321,271900
2017-05-01,76.730003,80.000000,74.169998,79.660004,79.181877,269500
2017-06-01,79.199997,85.040001,79.080002,80.680000,80.195763,251600
2017-07-01,80.699997,81.820000,77.660004,79.320000,79.063118,156900
2017-08-01,78.589996,85.360001,78.589996,84.690002,84.415726,177100
2017-09-01,84.059998,86.900002,79.370003,80.050003,79.790756,389900
2017-09-28,79.610001,80.198997,79.370003,80.040001,80.040001,7606
